brillig,ˈbrɪlɪg,ˈ(br ɪ ∅) (l ɪ g)
slithy,ˈslaɪði,ˈ(sl aɪ ∅) (ð i ∅)
toves,təʊvz,(t əʊ vz)
gimble,ˈʤɪmbɫ̩,ˈ(ʤ ɪ m) (b ɫ̩ ∅)
mimsy,ˈmɪmzi,ˈ(m ɪ m) (z i ∅)
borogroves,ˈbɒrəgrəʊvz,ˈ(b ɒ ∅) (r ə ∅) (gr əʊ vz)
mome,məʊm,(m əʊ m)
raths,raθs,(r a θs)
outgrabe,ˈautgreɪb,ˈ(∅ a ∅) (∅ u t) (gr eɪ b)
jabberwock,ˈʤabəwɒk,ˈ(ʤ a ∅) (b ə ∅) (w ɒ k)
jubjub,ˈʤʌbʤʌb,ˈ(ʤ ʌ b) (ʤ ʌ b)
frumious,ˈfruːmiəs,ˈ(fr uː ∅) (m iə s)
bandersnatch,ˈbandəsnaʧ,ˈ(b a n) (d ə ∅) (sn a ʧ)
vorpal,ˈvɔːpəl,ˈ(v ɔː ∅) (p ə l)
manxome,ˈmaŋksəm,ˈ(m a ŋk) (s ə m)
tumtum,ˈtʌmtʌm,ˈ(t ʌ m) (t ʌ m)
uffish,ˈʌfɪʃ,ˈ(∅ ʌ ∅) (f ɪ ʃ)
whiffling,ˈwɪflɪŋ,ˈ(w ɪ ∅) (fl ɪ ŋ)
snicker-snack,ˈsnɪkəˈsnak,ˈ(sn ɪ ∅) (k ə ∅) ˈ(sn a k)
galumphing,gəˈlʌmfɪŋ,(g ə ∅) ˈ(l ʌ m) (f ɪ ŋ)
beamish,ˈbiːmɪʃ,ˈ(b iː ∅) (m ɪ ʃ)
frabjous,ˈfrabʤəs,ˈ(fr a b) (ʤ ə s)
chortled,ˈʧɔːtɫ̩d,ˈ(ʧ ɔː ∅) (t ɫ̩ d)
snark,snɑːk,(sn ɑː k)
boojum,ˈbuːʤəm,ˈ(b uː ∅) (ʤ ə m)
quangle wangle,ˈkwaŋgɫ̩,ˈ(kw a ŋ) (g ɫ̩ ∅)
,ˈwaŋgɫ̩,ˈ(w a ŋ) (g ɫ̩ ∅)
scroobious,ˈskruːbiəs,ˈ(skr uː ∅) (b iə s)
slobaciously,sləˈbeɪʃəsli,(sl ə ∅) ˈ(b eɪ ∅) (ʃ ə ∅) (sl i ∅)
plumdomphious,plʌmˈdɒmfiəs,(pl ʌ m) ˈ(d ɒ m) (f iə s)
spongetaneously,spʌnʤˈteɪniəsli,(sp ʌ nʤ) ˈ(t eɪ ∅) (n iə ∅) (sl i ∅)
runcible,ˈrʌnsɪbɫ̩,ˈ(r ʌ n) (s ɪ ∅) (b ɫ̩ ∅)
jumblies,ˈʤʌmbliz,ˈ(ʤ ʌ m) (bl i z)
chankly,ˈʧaŋkli,ˈ(ʧ a ŋ) (kl i ∅)
willeby-wat,ˈwɪləbiˈwat,ˈ(w ɪ ∅) (l ə ∅) (b i ∅) ˈ(w a t)
flippity flup,ˈflɪpətiˈflʌp,ˈ(fl ɪ ∅) (p ə ∅) (t i ∅) ˈ(fl ʌ p)
coromandel,kɒrəˈmandəl,(k ɒ ∅) (r ə ∅) ˈ(m a n) (d ə l)
gurtle,ˈgɜːtɫ̩,ˈ(g ɜː ∅) (t ɫ̩ ∅)
pobble,ˈpɒbɫ̩,ˈ(p ɒ ∅) (b ɫ̩ ∅)
beasticles,ˈbiːstɪkɫ̩z,ˈ(b iː ∅) (st ɪ ∅) (k ɫ̩ z)
birdlings,ˈbɜːdlɪŋz,ˈ(b ɜː d) (l ɪ ŋz)
birdles,ˈbɜːdɫ̩z,ˈ(b ɜː ∅) (d ɫ̩ z)
fimble,ˈfɪmbɫ̩,ˈ(f ɪ m) (b ɫ̩ ∅)
attery,ˈatəri,ˈ(∅ a ∅) (t ə ∅) (r i ∅)
bisky,ˈbɪski,ˈ(b ɪ ∅) (sk i ∅)
fil-jomble,fɪlˈʤɒmbɫ̩,(f ɪ l) ˈ(ʤ ɒ m) (b ɫ̩ ∅)
dolomphious,dəˈlɒmfiəs,(d ə ∅) ˈ(l ɒ m) (f iə s)
fizzgigious,fɪzˈgɪgiəs,(f ɪ z) ˈ(g ɪ ∅) (g iə s)
