bagglepipes,ˈbagɫ̩paɪps,ˈ(b a ∅) (g ɫ̩ ∅) (p aɪ ps)
bogglebox,ˈbɒgɫ̩bɒks,ˈ(b ɒ ∅) (g ɫ̩ ∅) (b ɒ ks)
bootbogglers,ˈbuːtbɒgləz,ˈ(b uː t) (b ɒ ∅) (gl ə z)
bopmuggered,ˈbɒpmʌgəd,ˈ(b ɒ p) (m ʌ ∅) (g ə d)
crabcruncher,ˈkrabkrʌnʧə,ˈ(kr a b) (kr ʌ n) (ʧ ə ∅)
crodscollop,ˈkrɒdskɒləp,ˈ(kr ɒ d) (sk ɒ ∅) (l ə p)
crodsquinkled,ˈkrɒdskwɪŋkɫ̩d,ˈ(kr ɒ d) (skw ɪ ŋ) (k ɫ̩ d)
exundly,ɪgˈzʌndli,(∅ ɪ g) ˈ(z ʌ nd) (l i ∅)
fluckgungled,ˈflʌkgʌŋgɫ̩d,ˈ(fl ʌ k) (g ʌ ŋ) (g ɫ̩ d)
flushbunkled,ˈflʌʃbʌŋkɫ̩d,ˈ(fl ʌ ʃ) (b ʌ ŋ) (k ɫ̩ d)
frizzlecrump,ˈfrɪzɫ̩krʌmp,ˈ(fr ɪ ∅) (z ɫ̩ ∅) (kr ʌ mp)
frobscottle,ˈfrɒbskɒtɫ̩,ˈ(fr ɒ b) (sk ɒ ∅) (t ɫ̩ ∅)
frothbungling,ˈfrɒθbʌŋglɪŋ,ˈ(fr ɒ θ) (b ʌ ŋ) (gl ɪ ŋ)
gloriumptious,glɔːriˈʌmpʃəs,(gl ɔː ∅) (r i ∅) ˈ(∅ ʌ mp) (ʃ ə s)
gobblefunk,ˈgɒbɫ̩fʌŋk,ˈ(g ɒ ∅) (b ɫ̩ ∅) (f ʌ ŋk)
googler,ˈguːglə,ˈ(g uː ∅) (gl ə ∅)
gunzleswiped,ˈgʌnzɫ̩swaɪpt,ˈ(g ʌ n) (z ɫ̩ ∅) (sw aɪ pt)
hornswoggle,ˈhɔːnswɒgɫ̩,ˈ(h ɔː n) (sw ɒ ∅) (g ɫ̩ ∅)
jumbly,ˈʤʌmbli,ˈ(ʤ ʌ m) (bl i ∅)
jumpsquiffling,ˈʤʌmpskwɪflɪŋ,ˈ(ʤ ʌ mp) (skw ɪ ∅) (fl ɪ ŋ)
kiddles,ˈkɪdɫ̩z,ˈ(k ɪ ∅) (d ɫ̩ z)
lickswishy,ˈlɪkswɪʃi,ˈ(l ɪ k) (sw ɪ ∅) (ʃ i ∅)
lixivate,ˈlɪksɪveɪt,ˈ(l ɪ k) (s ɪ ∅) (v eɪ t)
majester,ˈmaʤəstə,ˈ(m a ∅) (ʤ ə ∅) (st ə ∅)
muggled,ˈmʌgɫ̩d,ˈ(m ʌ ∅) (g ɫ̩ d)
oompa-loompa,ʊmpəˈlʊmpə,(∅ ʊ m) (p ə ∅) ˈ(l ʊ m) (p ə ∅)
phiswizzards,ˈfɪzwɪzədz,ˈ(f ɪ z) (w ɪ ∅) (z ə dz)
phizz-whizzing,ˈfɪzwɪzɪŋ,ˈ(f ɪ z) (w ɪ ∅) (z ɪ ŋ)
poisnowse,ˈpɔɪznaʊz,ˈ(p ɔɪ z) (n aʊ z)
porteedo,pɔːˈtiːdəʊ,(p ɔː ∅) ˈ(t iː ∅) (d əʊ ∅)
quogwinkle,ˈkwɒgwɪŋkɫ̩,ˈ(kw ɒ ∅) (gw ɪ ŋ) (k ɫ̩ ∅)
ringbeller,ˈrɪŋbelə,ˈ(r ɪ ŋ) (b e ∅) (l ə ∅)
snozzcumber,ˈsnɒzkʌmbə,ˈ(sn ɒ z) (k ʌ m) (b ə ∅)
splitzwiggled,ˈsplɪtswɪgɫ̩d,ˈ(spl ɪ t) (sw ɪ ∅) (g ɫ̩ d)
splotch-winkle,ˈsplɒʧwɪŋkɫ̩,ˈ(spl ɒ ʧ) (w ɪ ŋ) (k ɫ̩ ∅)
squibble,ˈskwɪbɫ̩,ˈ(skw ɪ ∅) (b ɫ̩ ∅)
svollop,ˈsvɒləp,ˈ(sv ɒ ∅) (l ə p)
swatchscollop,ˈswɒʧskɒləp,ˈ(sw ɒ ʧ) (sk ɒ ∅) (l ə p)
swigpill,ˈswɪgpɪl,ˈ(sw ɪ g) (p ɪ l)
swogswallowed,ˈswɒgswɒləʊd,ˈ(sw ɒ g) (sw ɒ ∅) (l əʊ d)
trogglehumper,ˈtrɒgɫ̩hʌmpə,ˈ(tr ɒ ∅) (g ɫ̩ ∅) (h ʌ m) (p ə ∅)
vermicious knid,vəˈmɪʃəs,(v ə ∅) ˈ(m ɪ ∅) (ʃ ə s)
,knɪd,(kn ɪ d)
whizzpopping,ˈwɪzpɒpɪŋ,ˈ(w ɪ z) (p ɒ ∅) (p ɪ ŋ)
whoopsy-splunkers,ˈwʊpsisplʌŋkəz,ˈ(w ʊ p) (s i ∅) (spl ʌ ŋ) (k ə z)
wiffling,ˈwɪflɪŋ,ˈ(w ɪ ∅) (fl ɪ ŋ)
acromantula,akrəˈmantjʊlə,(∅ a ∅) (kr ə ∅) ˈ(m a n) (tj ʊ ∅) (l ə ∅)
ashwinder,ˈaʃwɪndə,ˈ(∅ a ʃ) (w ɪ n) (d ə ∅)
augurey,ˈɔːgjəri,ˈ(∅ ɔː ∅) (gj ə ∅) (r i ∅)
basilisk,ˈbazəlɪsk,ˈ(b a ∅) (z ə ∅) (l ɪ sk)
billywig,ˈbɪliwɪg,ˈ(b ɪ ∅) (l i ∅) (w ɪ g)
bowtruckle,ˈbəʊtrʌkɫ̩,ˈ(b əʊ ∅) (tr ʌ ∅) (k ɫ̩ ∅)
bundimun,ˈblʌndɪmʌn,ˈ(bl ʌ n) (d ɪ ∅) (m ʌ n)
chizpurfle,ˈʧɪzpɜːfɫ̩,ˈ(ʧ ɪ z) (p ɜː ∅) (f ɫ̩ ∅)
clabbert,ˈklabət,ˈ(kl a ∅) (b ə t)
crup,krʌp,(kr ʌ p)
demiguise,ˈdemɪgaɪz,ˈ(d e ∅) (m ɪ ∅) (g aɪ z)
diricawl,ˈdɪrɪkɔːl,ˈ(d ɪ ∅) (r ɪ ∅) (k ɔː l)
doxy,ˈdɒksi,ˈ(d ɒ k) (s i ∅)
dugbog,ˈdʌgbɒg,ˈ(d ʌ g) (b ɒ g)
erkling,ˈɜːklɪŋ,ˈ(∅ ɜː ∅) (kl ɪ ŋ)
erumpent,ɪˈrʌmpənt,(∅ ɪ ∅) ˈ(r ʌ m) (p ə nt)
flitterby,ˈflɪtəbaɪ,ˈ(fl ɪ ∅) (t ə ∅) (b aɪ ∅)
flobberworm,ˈflɒbəwɜːm,ˈ(fl ɒ ∅) (b ə ∅) (w ɜː m)
fwooper,ˈfwuːpə,ˈ(fw uː ∅) (p ə ∅)
glumbumble,ˈglʌmbʌmbɫ̩,ˈ(gl ʌ m) (b ʌ m) (b ɫ̩ ∅)
graphorn,ˈgraphɔːn,ˈ(gr a p) (h ɔː n)
grindylow,ˈgrɪndiləʊ,ˈ(gr ɪ n) (d i ∅) (l əʊ ∅)
horklump,ˈhɔːklʌmp,ˈ(h ɔː ∅) (kl ʌ mp)
jobberknoll,ˈʤɒbənɒl,ˈ(ʤ ɒ ∅) (b ə ∅) (n ɒ l)
kneazle,ˈniːzɫ̩,ˈ(n iː ∅) (z ɫ̩ ∅)
lethifold,ˈleθɪfəʊld,ˈ(l e ∅) (θ ɪ ∅) (f əʊ ld)
lobalug,ˈlɒbəlʌg,ˈ(l ɒ ∅) (b ə ∅) (l ʌ g)
mackled malaclaw,ˈmakɫ̩d,ˈ(m a ∅) (k ɫ̩ d)
,ˈmaləklɔː,ˈ(m a ∅) (l ə ∅) (kl ɔː ∅)
moke,məʊk,(m əʊ k)
murtlap,ˈmɜːtlap,ˈ(m ɜː t) (l a p)
niffler,ˈnɪflə,ˈ(n ɪ ∅) (fl ə ∅)
nogtail,ˈnɒgteɪl,ˈ(n ɒ g) (t eɪ l)
nundu,ˈnʌndu,ˈ(n ʌ n) (d u ∅)
occamy,ˈɒkəmi,ˈ(∅ ɒ ∅) (k ə ∅) (m i ∅)
plimpy,ˈplɪmpi,ˈ(pl ɪ m) (p i ∅)
pogrebin,pəˈgrebɪn,(p ə ∅) ˈ(gr e ∅) (b ɪ n)
porlock,ˈpɔːlɒk,ˈ(p ɔː ∅) (l ɒ k)
puffskein,ˈpʌfskeɪn,ˈ(p ʌ f) (sk eɪ n)
quintaped,ˈkwɪntəped,ˈ(kw ɪ n) (t ə ∅) (p e d)
re'em,riəm,(r iə m)
runespoor,ˈruːnspɔː,ˈ(r uː n) (sp ɔː ∅)
shrake,ʃreɪk,(ʃr eɪ k)
snidget,ˈsnɪʤət,ˈ(sn ɪ ∅) (ʤ ə t)
streeler,ˈstriːlə,ˈ(str iː ∅) (l ə ∅)
tebo,ˈtiːbəʊ,ˈ(t iː ∅) (b əʊ ∅)
thestral,ˈθestrəl,ˈ(θ e ∅) (str ə l)
