,fəˈzaŋ,(f ə ∅) ˈ(z a ŋ)
,ˈfliːbi,ˈ(fl iː ∅) (b i ∅)
,ʃʊg,(ʃ ʊ g)
,fɪkˈtaʃəs,(f ɪ k) ˈ(t a ∅) (ʃ ə s)
,ˈlʌŋgri,ˈ(l ʌ ŋ) (gr i ∅)
,trɪˈbɪlibɑːm,(tr ɪ ∅) ˈ(b ɪ ∅) (l i ∅) (b ɑː m)
,ˈglɒbnab,ˈ(gl ɒ b) (n a b)
,mʌdɫ̩ˈɪʃəs,(m ʌ ∅) (d ɫ̩ ∅) ˈ(∅ ɪ ∅) (ʃ ə s)
,ˈflabɪˌduːk,ˈ(fl a ∅) (b ɪ ∅) ˌ(d uː k)
,ˈaflɪli,ˈ(∅ a ∅) (fl ɪ ∅) (l i ∅)
,ˈzɪpzuː,ˈ(z ɪ p) (z uː ∅)
,ˈʃlɪpʃlɒks,ERROR
,ˈblɪkɫ̩,ˈ(bl ɪ ∅) (k ɫ̩ ∅)
,ˈsnɪftərɪŋ,ˈ(sn ɪ f) (t ə ∅) (r ɪ ŋ)
,skəˈʤɪgəri,(sk ə ∅) ˈ(ʤ ɪ ∅) (g ə ∅) (r i ∅)
,ˈtrɪŋkɫ̩,ˈ(tr ɪ ŋ) (k ɫ̩ ∅)
,ˈprɒŋlɪŋ,ˈ(pr ɒ ŋ) (l ɪ ŋ)
,ˈbʌmbɫ̩flaɪ,ˈ(b ʌ m) (b ɫ̩ ∅) (fl aɪ ∅)
,ˈʧɪpɫ̩,ˈ(ʧ ɪ ∅) (p ɫ̩ ∅)
,ˌdeprəkanˈtɪliəs,ˌ(d e ∅) (pr ə ∅) (k a n) ˈ(t ɪ ∅) (l iə s)
,ˈstrʊkɪt,ˈ(str ʊ ∅) (k ɪ t)
,ˈsplɒʤlɪŋ,ˈ(spl ɒ ʤ) (l ɪ ŋ)
,ˈspɒzɫ̩fɔːθ,ˈ(sp ɒ ∅) (z ɫ̩ ∅) (f ɔː θ)
,ˌpɒpəˈdɒpəgram,ˌ(p ɒ ∅) (p ə ∅) ˈ(d ɒ ∅) (p ə ∅) (gr a m)
,ˈmuːnbəʊ,ˈ(m uː n) (b əʊ ∅)
,ˈruːzɫ̩,ˈ(r uː ∅) (z ɫ̩ ∅)
,ˈspɒndɫ̩bɒbz,ˈ(sp ɒ n) (d ɫ̩ ∅) (b ɒ bz)
,ekˌstriːmɪˈnalɪti,(∅ e k) ˌ(str iː ∅) (m ɪ ∅) ˈ(n a ∅) (l ɪ ∅) (t i ∅)
,əˌpaθməˈralɪsɪs,(∅ ə ∅) ˌ(p a θ) (m ə ∅) ˈ(r a ∅) (l ɪ ∅) (s ɪ s)
,ˈfrəʊlɑːʒ,ˈ(fr əʊ ∅) (l ɑː ʒ)
,ˌmanəkəˈnapə,ˌ(m a ∅) (n ə ∅) (k ə ∅) ˈ(n a ∅) (p ə ∅)
,ˈaləbəʊp,ˈ(∅ a ∅) (l ə ∅) (b əʊ p)
,glʊmf,(gl ʊ mf)
,ˈʃendəd,ˈ(ʃ e n) (d ə d)
,kɒŋˌglɒməˈreɪdʃɪp,(k ɒ ŋ) ˌ(gl ɒ ∅) (m ə ∅) ˈ(r eɪ d) (ʃ ɪ p)
,zəˈvuːlə,(z ə ∅) ˈ(v uː ∅) (l ə ∅)
