lilliput,ˈlɪlɪpʊt,ˈ(l ɪ ∅) (l ɪ ∅) (p ʊ t)
hekinah,ˈhekɪnɑː,ˈ(h e ∅) (k ɪ ∅) (n ɑː ∅)
degul,ˈdegʊl,ˈ(d e ∅) (g ʊ l)
tolgo,ˈtɒlgəʊ,ˈ(t ɒ l) (g əʊ ∅)
phonac,ˈfɒnak,ˈ(f ɒ ∅) (n a k)
langro,ˈlaŋgrəʊ,ˈ(l a ŋ) (gr əʊ ∅)
dehul,deˈhʊl,(d e ∅) ˈ(h ʊ l)
san,san,(s a n)
hurgo,ˈhɜːgəʊ,ˈ(h ɜː ∅) (g əʊ ∅)
borach,ˈbɒraʧ,ˈ(b ɒ ∅) (r a ʧ)
mivola,mɪˈvəʊlə,(m ɪ ∅) ˈ(v əʊ ∅) (l ə ∅)
peplom,ˈpeplɒm,ˈ(p e ∅) (pl ɒ m)
selan,seˈlan,(s e ∅) ˈ(l a n)
quinbus flestrin,ˈkwɪnbəs,ˈ(kw ɪ n) (b ə s)
,ˈflestrɪn,ˈ(fl e ∅) (str ɪ n)
ranfu-lo,ˈranfuːˈləʊ,ˈ(r a n) (f uː ∅) ˈ(l əʊ ∅)
clefren frelock,ˈklefrən,ˈ(kl e ∅) (fr ə n)
,ˈfrelɒk,ˈ(fr e ∅) (l ɒ k)
marsi,ˈmɑːsi,ˈ(m ɑː ∅) (s i ∅)
flimnap,ˈflɪmnap,ˈ(fl ɪ m) (n a p)
reldresal,relˈdresəl,(r e l) ˈ(dr e ∅) (s ə l)
skyresh bolgolam,ˈskaireʃ,ˈ(sk a ∅) (∅ i ∅) (r e ʃ)
,ˈbɒlgəlam,ˈ(b ɒ l) (g ə ∅) (l a m)
galbet,ˈgalbət,ˈ(g a l) (b ə t)
blustrugs,ˈblʌstrʌgz,ˈ(bl ʌ ∅) (str ʌ gz)
belfaborac,belˈfabərak,(b e l) ˈ(f a ∅) (b ə ∅) (r a k)
mildendo,mɪlˈdendəʊ,(m ɪ l) ˈ(d e n) (d əʊ ∅)
tramecksan,ˈtrameksan,ˈ(tr a ∅) (m e k) (s a n)
slamecksan,ˈslameksan,ˈ(sl a ∅) (m e k) (s a n)
drurr,drɜː,(dr ɜː ∅)
lustrog,ˈlʌstrɒg,ˈ(l ʌ ∅) (str ɒ g)
blundecral,ˈblʌndəkral,ˈ(bl ʌ n) (d ə ∅) (kr a l)
alcoran,ˈalkəran,ˈ(∅ a l) (k ə ∅) (r a n)
glumgluff,ˈglʌmglʌf,ˈ(gl ʌ m) (gl ʌ f)
nardac,ˈnɑːdak,ˈ(n ɑː ∅) (d a k)
burglum,ˈbɜːgləm,ˈ(b ɜː ∅) (gl ə m)
glimigrim,ˈglɪmɪgrɪm,ˈ(gl ɪ ∅) (m ɪ ∅) (gr ɪ m)
flunec,ˈfluːnek,ˈ(fl uː ∅) (n e k)
snilpall,ˈsnɪlpal,ˈ(sn ɪ l) (p a l)
sprug,sprʌg,(spr ʌ g)
clustril,ˈklʌstrɪl,ˈ(kl ʌ ∅) (str ɪ l)
drunlo,ˈdrʌnləʊ,ˈ(dr ʌ n) (l əʊ ∅)
clumglum,ˈklʌmglʌm,ˈ(kl ʌ m) (gl ʌ m)
galbet,ˈgalbət,ˈ(g a l) (b ə t)
limtoc,ˈlɪmtɒk,ˈ(l ɪ m) (t ɒ k)
lalcon,ˈlalkɒn,ˈ(l a l) (k ɒ n)
balmuff,ˈbalmʌf,ˈ(b a l) (m ʌ f)
calin deffar plune,ˈkeɪlɪn,ˈ(k eɪ ∅) (l ɪ n)
,ˈdefɑː,ˈ(d e ∅) (f ɑː ∅)
,pluːn,(pl uː n)
brobdingnag,ˈbrɒbdɪŋnag,ˈ(br ɒ b) (d ɪ ŋ) (n a g)
grildrig,ˈgrɪldrɪg,ˈ(gr ɪ l) (dr ɪ g)
glumdalclitch,ˈglʌmdəlklɪʧ,ˈ(gl ʌ m) (d ə l) (kl ɪ ʧ)
splacknuck,ˈsplaknʌk,ˈ(spl a k) (n ʌ k)
grultrud,ˈgrʌltrʌd,ˈ(gr ʌ l) (tr ʌ d)
lorbrulgrud,ˈlɔːbrʌlgrʌd,ˈ(l ɔː ∅) (br ʌ l) (gr ʌ d)
slardral,ˈslɑːdral,ˈ(sl ɑː ∅) (dr a l)
moydores,ˈmɔɪdɔːz,ˈ(m ɔɪ ∅) (d ɔː z)
