agrajag,ˈagrəʤag,ˈ(∅ a ∅) (gr ə ∅) (ʤ a g)
beeblebrox,ˈbiːbɫ̩brɒks,ˈ(b iː ∅) (b ɫ̩ ∅) (br ɒ ks)
zaphod,ˈzafɒd,ˈ(z a ∅) (f ɒ d)
gallumbits,gəˈlʌmbɪts,(g ə ∅) ˈ(l ʌ m) (b ɪ ts)
bethselamin,beθˈseləmɪn,(b e θ) ˈ(s e ∅) (l ə ∅) (m ɪ n)
brockian,ˈbrɒkiən,ˈ(br ɒ ∅) (k iə n)
oolon colluphid,ˈuːlɒn,ˈ(∅ uː ∅) (l ɒ n)
,kəˈluːfɪd,(k ə ∅) ˈ(l uː ∅) (f ɪ d)
damogran,ˈdaməgran,ˈ(d a ∅) (m ə ∅) (gr a n)
dentrassis,denˈtrasɪs,(d e n) ˈ(tr a ∅) (s ɪ s)
fook,fuːk,(f uː k)
frood,fruːd,(fr uː d)
gargravarr,ˈgɑːgrəvɑː,ˈ(g ɑː ∅) (gr ə ∅) (v ɑː ∅)
hrung,hrʌŋ,(hr ʌ ŋ)
praxibetel,ˈpraksɪbetəl,ˈ(pr a k) (s ɪ ∅) (b e ∅) (t ə l)
betelgeuse,ˈbetəlgɜːz,ˈ(b e ∅) (t ə l) (g ɜː z)
janx,ʤaŋks,(ʤ a ŋks)
jatravartids,ʤatrəvɑːˈtɪdz,(ʤ a ∅) (tr ə ∅) (v ɑː ∅) ˈ(t ɪ dz)
arkle,ɑːkɫ̩,(∅ ɑː ∅) (k ɫ̩ ∅)
prostetnic jeltz,prɒˈstetnɪk,(pr ɒ ∅) ˈ(st e t) (n ɪ k)
,ʤelts,(ʤ e lts)
lamuella,lamˈwelə,(l a m) ˈ(w e ∅) (l ə ∅)
lintilla,lɪnˈtɪlə,(l ɪ n) ˈ(t ɪ ∅) (l ə ∅)
loonquawl,ˈluːnkwɔːl,ˈ(l uː n) (kw ɔː l)
lunkwill,ˈlʌŋkwɪl,ˈ(l ʌ ŋ) (kw ɪ l)
magrathea,məˈgraθiə,(m ə ∅) ˈ(gr a ∅) (θ iə ∅)
majikthise,ˈmaʤɪkθaɪz,ˈ(m a ∅) (ʤ ɪ k) (θ aɪ z)
thrashbarg,ˈθraʃbɑːg,ˈ(θr a ʃ) (b ɑː g)
pouchg,paʊʧg,(p aʊ ʧg)
blugblatter,ˈblʌgblatə,ˈ(bl ʌ g) (bl a ∅) (t ə ∅)
traal,trɑːl,(tr ɑː l)
silastic,sɪˈlastɪk,(s ɪ ∅) ˈ(l a ∅) (st ɪ k)
striterax,ˈstrɪtəraks,ˈ(str ɪ ∅) (t ə ∅) (r a ks)
slartibartfast,slɑːtiˈbɑːtfast,(sl ɑː ∅) (t i ∅) ˈ(b ɑː t) (f a st)
strag,strag,(str a g)
trin tragula,trɪn,(tr ɪ n)
,ˈtragjʊlə,ˈ(tr a ∅) (gj ʊ ∅) (l ə ∅)
viltvodel,ˈvɪltvəʊdəl,ˈ(v ɪ lt) (v əʊ ∅) (d ə l)
vogon,ˈvəʊgɒn,ˈ(v əʊ ∅) (g ɒ n)
freddled,ˈfredɫ̩d,ˈ(fr e ∅) (d ɫ̩ d)
gruntbuggly,ˈgrʌntbʌgli,ˈ(gr ʌ nt) (b ʌ ∅) (gl i ∅)
plurdled,ˈplɜːdɫ̩d,ˈ(pl ɜː ∅) (d ɫ̩ d)
gabbleblotchits,ˈgabɫ̩blɒʧɪts,ˈ(g a ∅) (b ɫ̩ ∅) (bl ɒ ∅) (ʧ ɪ ts)
lurgid,ˈlɜːʤɪd,ˈ(l ɜː ∅) (ʤ ɪ d)
mordiously,ˈmɔːdiəsli,ˈ(m ɔː ∅) (d iə ∅) (sl i ∅)
earted,ˈɜːtəd,ˈ(∅ ɜː ∅) (t ə d)
jurtles,ˈʤɜːtɫ̩z,ˈ(ʤ ɜː ∅) (t ɫ̩ z)
jurpling,ˈʤɜːplɪŋ,ˈ(ʤ ɜː ∅) (pl ɪ ŋ)
slayjid,ˈsleɪʤɪd,ˈ(sl eɪ ∅) (ʤ ɪ d)
agrocrustles,ˈagrəʊkrʊsɫ̩z,ˈ(∅ a ∅) (gr əʊ ∅) (kr ʊ ∅) (s ɫ̩ z)
hagrilly,ˈhagrɪli,ˈ(h a ∅) (gr ɪ ∅) (l i ∅)
axlegrurts,ˈaksɫ̩grɜːts,ˈ(∅ a k) (s ɫ̩ ∅) (gr ɜː ts)
glupules,ˈgluːpjuːlz,ˈ(gl uː ∅) (pj uː lz)
frart,frɑːt,(fr ɑː t)
slipulate,ˈslɪpjʊleɪt,ˈ(sl ɪ ∅) (pj ʊ ∅) (l eɪ t)
groop,gruːp,(gr uː p)
foonting,ˈfuːntɪŋ,ˈ(f uː n) (t ɪ ŋ)
turling,ˈtɜːlɪŋ,ˈ(t ɜː ∅) (l ɪ ŋ)
hooptiously,ˈhuːpʃəsli,ˈ(h uː p) (ʃ ə ∅) (sl i ∅)
drangle,ˈdraŋgɫ̩,ˈ(dr a ŋ) (g ɫ̩ ∅)
blindlewurdles,ˈblɪndɫ̩wɜːdɫ̩z,ˈ(bl ɪ n) (d ɫ̩ ∅) (w ɜː ∅) (d ɫ̩ z)
gobberwarts,ˈgɒbəwɔːts,ˈ(g ɒ ∅) (b ə ∅) (w ɔː ts)
blurglecruncheon,ˈblɜːgɫ̩krʌnʧən,ˈ(bl ɜː ∅) (g ɫ̩ ∅) (kr ʌ n) (ʧ ə n)
vogsol,ˈvɒgsɒl,ˈ(v ɒ g) (s ɒ l)
vroomfondel,ˈvruːmfɒndəl,ˈ(vr uː m) (f ɒ n) (d ə l)
wonko,ˈwɒŋkəʊ,ˈ(w ɒ ŋ) (k əʊ ∅)
wowbagger,ˈwaʊbagə,ˈ(w aʊ ∅) (b a ∅) (g ə ∅)
zarquon,ˈzɑːkwɒn,ˈ(z ɑː ∅) (kw ɒ n)
zark,ˈzɑːk,ˈ(z ɑː k)
snooglehoort,ˈsnuːgɫ̩hɔːt,ˈ(sn uː ∅) (g ɫ̩ ∅) (h ɔː t)
altravargus,ˈaltrəvɑːgəs,ˈ(∅ a l) (tr ə ∅) (v ɑː ∅) (g ə s)
vreon,ˈvriɒn,ˈ(vr iɒ n)
enteropia,entəˈrəʊpiə,(∅ e n) (t ə ∅) ˈ(r əʊ ∅) (p iə ∅)
scrupts,skrʌpts,(skr ʌ pts)
scrupture,ˈskrʌpʧə,ˈ(skr ʌ p) (ʧ ə ∅)
squamp,skwɒmp,(skw ɒ mp)
golgafrincham,gɒlgəˈfrɪnʧəm,(g ɒ l) (g ə ∅) ˈ(fr ɪ n) (ʧ ə m)
arium,ˈariəm,ˈ(∅ a ∅) (r iə m)
kakrafoon,ˈkakrəfuːn,ˈ(k a ∅) (kr ə ∅) (f uː n)
belcerebon,belˈserəbɒn,(b e l) ˈ(s e ∅) (r ə ∅) (b ɒ n)
voojagig,ˈvuːʤəgɪg,ˈ(v uː ∅) (ʤ ə ∅) (g ɪ g)
maximegalon,maksɪˈmegəlɒn,(m a k) (s ɪ ∅) ˈ(m e ∅) (g ə ∅) (l ɒ n)
dolmen saxo,ˈdɒlmən,ˈ(d ɒ l) (m ə n)
,ˈsaksəʊ,ˈ(s a k) (s əʊ ∅)
allitnils,əˈlɪtnɪlz,(∅ ə ∅) ˈ(l ɪ t) (n ɪ lz)
hig hurtenflurst,hɪg,(h ɪ g)
,ˈhɜːtn̩flɜːst,ˈ(h ɜː ∅) (t n̩ ∅) (fl ɜː st)
blart,blɑːt,(bl ɑː t)
versenwald,ˈvɜːsn̩wald,ˈ(v ɜː ∅) (s n̩ ∅) (w a ld)
effrafax,ˈefrəfaks,ˈ(∅ e ∅) (fr ə ∅) (f a ks)
gag halfrunt,gag,(g a g)
,ˈhalfrʌnt,ˈ(h a l) (fr ʌ nt)
garkbit,ˈgɑːkbɪt,ˈ(g ɑː k) (b ɪ t)
gognilla mincefiend,gɒgˈnɪlə,(g ɒ g) ˈ(n ɪ ∅) (l ə ∅)
,ˈmɪnsfiːnd,ˈ(m ɪ ns) (f iː nd)
googleplex,ˈguːgɫ̩pleks,ˈ(g uː ∅) (g ɫ̩ ∅) (pl e ks)
grunthos,ˈgrʌnθɒs,ˈ(gr ʌ n) (θ ɒ s)
hactar,ˈhaktɑː,ˈ(h a k) (t ɑː ∅)
humma kavula,ˈhʌmə,ˈ(h ʌ ∅) (m ə ∅)
,ˈkavjʊlə,ˈ(k a ∅) (vj ʊ ∅) (l ə ∅)
hurling frootmig,ˈhɜːlɪŋ,ˈ(h ɜː ∅) (l ɪ ŋ)
,ˈfruːtmɪg,ˈ(fr uː t) (m ɪ g)
kwaltz,kwɒlts,(kw ɒ lts)
lajestic vantrashell,ləˈʤestɪk,(l ə ∅) ˈ(ʤ e ∅) (st ɪ k)
,ˈvantrəʃel,ˈ(v a n) (tr ə ∅) (ʃ e l)
lob,lɒb,(l ɒ b)
lallafa,ˈlaləfə,ˈ(l a ∅) (l ə ∅) (f ə ∅)
lazlar lyricon,ˈlazlɑː,ˈ(l a z) (l ɑː ∅)
,ˈlɪrɪkɒn,ˈ(l ɪ ∅) (r ɪ ∅) (k ɒ n)
lig lury,lɪg,(l ɪ g)
,ˈlueri,ˈ(l u ∅) (∅ e ∅) (r i ∅)
sanvalvwag,ˈsanvalvwag,ˈ(s a n) (v a lv) (w a g)
hollop,ˈhɒlɒp,ˈ(h ɒ ∅) (l ɒ p)
