p,carroll_lear,0.053,0.183,0.118,0.065
b,carroll_lear,0.114,0.241,0.1775,0.0635
t,carroll_lear,0.044,0.163,0.1035,0.0595
d,carroll_lear,0.03,0.143,0.0865,0.0565
k,carroll_lear,0.062,0.184,0.123,0.061
g,carroll_lear,0.028,0.132,0.08,0.052
f,carroll_lear,0.077,0.206,0.1415,0.0645
v,carroll_lear,-0.013,0.053,0.02,0.033
θ,carroll_lear,-0.017,0.04,0.0115,0.0285
ð,carroll_lear,-0.009,0.02,0.0055,0.0145
s,carroll_lear,0.09,0.236,0.163,0.073
z,carroll_lear,0.01,0.097,0.0535,0.0435
ʃ,carroll_lear,-0.002,0.053,0.0255,0.0275
ʧ,carroll_lear,-0.005,0.068,0.0315,0.0365
ʤ,carroll_lear,0.004,0.088,0.046,0.042
m,carroll_lear,0.082,0.264,0.173,0.091
n,carroll_lear,0.04,0.162,0.101,0.061
l,carroll_lear,0.107,0.227,0.167,0.06
r,carroll_lear,0.03,0.131,0.0805,0.0505
w,carroll_lear,0.008,0.083,0.0455,0.0375
j,carroll_lear,-0.005,0.017,0.006,0.011
h,carroll_lear,-0.008,0.024,0.008,0.016
ŋ,carroll_lear,0.008,0.084,0.046,0.038
ɫ,carroll_lear,0.058,0.163,0.1105,0.0525
p,dahl_rowling,0.089,0.216,0.1525,0.0635
b,dahl_rowling,0.062,0.164,0.113,0.051
t,dahl_rowling,0.039,0.125,0.082,0.043
d,dahl_rowling,0.055,0.16,0.1075,0.0525
k,dahl_rowling,0.119,0.267,0.193,0.074
g,dahl_rowling,0.066,0.181,0.1235,0.0575
f,dahl_rowling,0.029,0.107,0.068,0.039
v,dahl_rowling,-0.006,0.031,0.0125,0.0185
θ,dahl_rowling,-0.006,0.031,0.0125,0.0185
s,dahl_rowling,0.077,0.187,0.132,0.055
z,dahl_rowling,0.023,0.126,0.0745,0.0515
ʃ,dahl_rowling,-0.005,0.061,0.028,0.033
ʧ,dahl_rowling,-0.004,0.032,0.014,0.018
ʤ,dahl_rowling,-0.003,0.046,0.0215,0.0245
m,dahl_rowling,0.059,0.175,0.117,0.058
n,dahl_rowling,0.054,0.172,0.113,0.059
l,dahl_rowling,0.137,0.252,0.1945,0.0575
r,dahl_rowling,0.053,0.177,0.115,0.062
w,dahl_rowling,0.046,0.139,0.0925,0.0465
j,dahl_rowling,-0.005,0.016,0.0055,0.0105
h,dahl_rowling,-0.005,0.039,0.017,0.022
ŋ,dahl_rowling,0.019,0.094,0.0565,0.0375
ɫ,dahl_rowling,0.044,0.13,0.087,0.043
p,elicited,0.065,0.184,0.1245,0.0595
b,elicited,0.083,0.21,0.1465,0.0635
t,elicited,0.034,0.152,0.093,0.059
d,elicited,0.024,0.099,0.0615,0.0375
k,elicited,0.066,0.183,0.1245,0.0585
g,elicited,0.061,0.181,0.121,0.06
f,elicited,0.054,0.161,0.1075,0.0535
v,elicited,-0.005,0.016,0.0055,0.0105
θ,elicited,-0.012,0.042,0.015,0.027
s,elicited,0.066,0.177,0.1215,0.0555
z,elicited,0.007,0.083,0.045,0.038
ʃ,elicited,0.006,0.09,0.048,0.042
ʒ,elicited,-0.007,0.024,0.0085,0.0155
ʧ,elicited,-0.009,0.054,0.0225,0.0315
ʤ,elicited,-0.004,0.066,0.031,0.035
m,elicited,0.043,0.145,0.094,0.051
n,elicited,0.06,0.184,0.122,0.062
l,elicited,0.145,0.293,0.219,0.074
r,elicited,0.074,0.196,0.135,0.061
w,elicited,0.001,0.051,0.026,0.025
j,elicited,-0.003,0.024,0.0105,0.0135
h,elicited,-0.008,0.018,0.005,0.013
ŋ,elicited,0.034,0.139,0.0865,0.0525
ɫ,elicited,0.063,0.158,0.1105,0.0475
p,gullivers,0.028,0.157,0.0925,0.0645
b,gullivers,0.059,0.182,0.1205,0.0615
t,gullivers,0.056,0.173,0.1145,0.0585
d,gullivers,0.099,0.233,0.166,0.067
k,gullivers,0.082,0.202,0.142,0.06
g,gullivers,0.104,0.256,0.18,0.076
f,gullivers,0.027,0.16,0.0935,0.0665
v,gullivers,-0.005,0.012,0.0035,0.0085
θ,gullivers,-0.008,0.028,0.01,0.018
s,gullivers,0.073,0.204,0.1385,0.0655
z,gullivers,-0.009,0.059,0.025,0.034
ʃ,gullivers,-0.009,0.056,0.0235,0.0325
ʧ,gullivers,-0.007,0.024,0.0085,0.0155
m,gullivers,0.066,0.175,0.1205,0.0545
n,gullivers,0.131,0.273,0.202,0.071
l,gullivers,0.339,0.499,0.419,0.08
r,gullivers,0.114,0.271,0.1925,0.0785
w,gullivers,-0.009,0.056,0.0235,0.0325
j,gullivers,-0.005,0.015,0.005,0.01
h,gullivers,-0.001,0.086,0.0425,0.0435
ŋ,gullivers,-0.006,0.063,0.0285,0.0345
p,hitchhikers,0.03,0.129,0.0795,0.0495
b,hitchhikers,0.025,0.112,0.0685,0.0435
t,hitchhikers,0.124,0.259,0.1915,0.0675
d,hitchhikers,0.041,0.14,0.0905,0.0495
k,hitchhikers,0.091,0.214,0.1525,0.0615
g,hitchhikers,0.095,0.233,0.164,0.069
f,hitchhikers,0.023,0.111,0.067,0.044
v,hitchhikers,0.019,0.105,0.062,0.043
θ,hitchhikers,-0.002,0.031,0.0145,0.0165
s,hitchhikers,0.102,0.244,0.173,0.071
z,hitchhikers,0.013,0.087,0.05,0.037
ʃ,hitchhikers,-0.005,0.043,0.019,0.024
ʧ,hitchhikers,-0.006,0.04,0.017,0.023
ʤ,hitchhikers,0.011,0.084,0.0475,0.0365
m,hitchhikers,0.02,0.097,0.0585,0.0385
n,hitchhikers,0.085,0.194,0.1395,0.0545
l,hitchhikers,0.171,0.306,0.2385,0.0675
r,hitchhikers,0.131,0.269,0.2,0.069
w,hitchhikers,0.021,0.104,0.0625,0.0415
j,hitchhikers,0.001,0.04,0.0205,0.0195
h,hitchhikers,0.011,0.085,0.048,0.037
ŋ,hitchhikers,0.008,0.09,0.049,0.041
ɫ,hitchhikers,0.015,0.082,0.0485,0.0335
p,real,0.092,0.112,0.102,0.01
b,real,0.052,0.067,0.0595,0.0075
t,real,0.2,0.226,0.213,0.013
d,real,0.097,0.117,0.107,0.01
k,real,0.134,0.156,0.145,0.011
g,real,0.027,0.039,0.033,0.006
f,real,0.052,0.067,0.0595,0.0075
v,real,0.034,0.045,0.0395,0.0055
θ,real,0.011,0.02,0.0155,0.0045
ð,real,0.005,0.011,0.008,0.003
s,real,0.171,0.197,0.184,0.013
z,real,0.024,0.035,0.0295,0.0055
ʃ,real,0.034,0.045,0.0395,0.0055
ʒ,real,0.001,0.004,0.0025,0.0015
ʧ,real,0.017,0.027,0.022,0.005
ʤ,real,0.019,0.029,0.024,0.005
m,real,0.08,0.097,0.0885,0.0085
n,real,0.175,0.198,0.1865,0.0115
l,real,0.144,0.166,0.155,0.011
r,real,0.125,0.146,0.1355,0.0105
w,real,0.029,0.041,0.035,0.006
j,real,0.017,0.026,0.0215,0.0045
h,real,0.019,0.029,0.024,0.005
ŋ,real,0.022,0.032,0.027,0.005
ɫ,real,0.006,0.011,0.0085,0.0025
