a,ə,(∅ ə ∅)
abandon,əˈbandən,(∅ ə ∅) ˈ(b a n) (d ə n)
ability,əˈbɪləti,(∅ ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
able,ˈeɪbɫ̩,ˈ(∅ eɪ ∅) (b ɫ̩ ∅)
abortion,əˈbɔːʃn̩,(∅ ə ∅) ˈ(b ɔː ∅) (ʃ n̩ ∅)
about,əˈbaʊt,(∅ ə ∅) ˈ(b aʊ t)
above,əˈbʌv,(∅ ə ∅) ˈ(b ʌ v)
abroad,əˈbrɔːd,(∅ ə ∅) ˈ(br ɔː d)
absence,ˈabsəns,ˈ(∅ a b) (s ə ns)
absolute,ˈabsəluːt,ˈ(∅ a b) (s ə ∅) (l uː t)
absolutely,ˈabsəluːtli,ˈ(∅ a b) (s ə ∅) (l uː t) (l i ∅)
absorb,əbˈzɔːb,(∅ ə b) ˈ(z ɔː b)
abstract,ˈabstrakt,ˈ(∅ a b) (str a kt)
abuse,əˈbjuːs,(∅ ə ∅) ˈ(bj uː s)
academic,ˌakəˈdemɪk,ˌ(∅ a ∅) (k ə ∅) ˈ(d e ∅) (m ɪ k)
accelerate,əkˈseləreɪt,(∅ ə k) ˈ(s e ∅) (l ə ∅) (r eɪ t)
accent,ˈaksent,ˈ(∅ a k) (s ə nt)
accept,əkˈsept,(∅ ə k) ˈ(s e pt)
acceptable,əkˈseptəbɫ̩,(∅ ə k) ˈ(s e p) (t ə ∅) (b ɫ̩ ∅)
acceptance,əkˈseptəns,(∅ ə k) ˈ(s e p) (t ə ns)
access,ˈakses,ˈ(∅ a k) (s e s)
accessible,əkˈsesəbɫ̩,(∅ ə k) ˈ(s e ∅) (s ə ∅) (b ɫ̩ ∅)
accident,ˈaksɪdənt,ˈ(∅ a k) (s ɪ ∅) (d ə nt)
accommodate,əˈkɒmədeɪt,(∅ ə ∅) ˈ(k ɒ ∅) (m ə ∅) (d eɪ t)
accompany,əˈkʌmpəni,(∅ ə ∅) ˈ(k ʌ m) (p ə ∅) (n i ∅)
accomplish,əˈkʌmplɪʃ,(∅ ə ∅) ˈ(k ʌ m) (pl ɪ ʃ)
accomplishment,əˈkʌmplɪʃmənt,(∅ ə ∅) ˈ(k ʌ m) (pl ɪ ʃ) (m ə nt)
according,əˈkɔːdɪŋ,(∅ ə ∅) ˈ(k ɔː ∅) (d ɪ ŋ)
account,əˈkaʊnt,(∅ ə ∅) ˈ(k aʊ nt)
accountability,əˌkaʊntəˈbɪləti,(∅ ə ∅) ˌ(k aʊ n) (t ə ∅) ˈ(b ɪ ∅) (l ə ∅) (t i ∅)
accounting,əˈkaʊntɪŋ,(∅ ə ∅) ˈ(k aʊ n) (t ɪ ŋ)
accuracy,ˈakjərəsi,ˈ(∅ a ∅) (kj ə ∅) (r ə ∅) (s i ∅)
accurate,ˈakjərət,ˈ(∅ a ∅) (kj ə ∅) (r ə t)
accurately,ˈakjərətli,ˈ(∅ a ∅) (kj ə ∅) (r ə t) (l i ∅)
accusation,ˌakjuˈzeɪʃn̩,ˌ(∅ a ∅) (kj u ∅) ˈ(z eɪ ∅) (ʃ n̩ ∅)
accuse,əˈkjuːz,(∅ ə ∅) ˈ(kj uː z)
achieve,əˈʧiːv,(∅ ə ∅) ˈ(ʧ iː v)
achievement,əˈʧiːvmənt,(∅ ə ∅) ˈ(ʧ iː v) (m ə nt)
acid,ˈasɪd,ˈ(∅ a ∅) (s ɪ d)
acknowledge,əkˈnɒlɪʤ,(∅ ə k) ˈ(n ɒ ∅) (l ɪ ʤ)
acquire,əˈkwaɪə,(∅ ə ∅) ˈ(kw aɪ ∅) (∅ ə ∅)
acquisition,ˌakwɪˈzɪʃn̩,ˌ(∅ a ∅) (kw ɪ ∅) ˈ(z ɪ ∅) (ʃ n̩ ∅)
across,əˈkrɒs,(∅ ə ∅) ˈ(kr ɒ s)
act,akt,(∅ a kt)
action,ˈakʃn̩,ˈ(∅ a k) (ʃ n̩ ∅)
active,ˈaktɪv,ˈ(∅ a k) (t ɪ v)
actively,ˈaktɪvli,ˈ(∅ a k) (t ɪ v) (l i ∅)
activist,ˈaktɪvɪst,ˈ(∅ a k) (t ɪ ∅) (v ɪ st)
activity,akˈtɪvəti,(∅ a k) ˈ(t ɪ ∅) (v ə ∅) (t i ∅)
actor,ˈaktə,ˈ(∅ a k) (t ə ∅)
actress,ˈaktrəs,ˈ(∅ a k) (tr ə s)
actual,ˈakʧuəl,ˈ(∅ a k) (ʧ uə l)
actually,ˈakʧuəli,ˈ(∅ a k) (ʧ uə ∅) (l i ∅)
adapt,əˈdapt,(∅ ə ∅) ˈ(d a pt)
add,ad,(∅ a d)
added,ˈadɪd,ˈ(∅ a ∅) (d ɪ d)
addition,əˈdɪʃn̩,(∅ ə ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅)
additional,əˈdɪʃn̩əl,(∅ ə ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅) (∅ ə l)
address,əˈdres,(∅ ə ∅) ˈ(dr e s)
adequate,ˈadɪkwət,ˈ(∅ a ∅) (d ɪ ∅) (kw ə t)
adjust,əˈʤʌst,(∅ ə ∅) ˈ(ʤ ʌ st)
adjustment,əˈʤʌstmənt,(∅ ə ∅) ˈ(ʤ ʌ st) (m ə nt)
